time,z,y,x
1707531229936720000,-0.174841523,-7.287276745,3.099095345
1707531229955610000,-1.419038057,-7.208186626,2.427652359
1707531229974500000,-2.507344246,-7.29841423,0.886314869
1707531229993400000,-1.761598229,-7.387022018,0.647672176
1707531230012290000,-0.553947926,-6.554475784,0.561144352
1707531230031180000,-0.474460781,-5.401422024,1.325358391
1707531230050080000,-0.508050203,-4.582839012,2.463276863
1707531230068970000,0.281394005,-2.646025181,3.379448414
1707531230087860000,1.018128872,-0.483885765,3.813383102
1707531230125650000,-5.886561871,6.510046959,4.571455002
1707531230144540000,-7.176177502,9.800189972,5.891278744
1707531230163430000,-4.151524544,12.45625019,7.163297176
1707531230182330000,3.201799393,12.39195824,8.126495361
1707531230201220000,11.50729942,11.11291599,7.042051792
1707531230220110000,16.06718445,8.214775085,5.368870735
1707531230239010000,14.62043953,4.478935242,2.949699163
1707531230257900000,9.938131332,0.683506966,-0.402912498
1707531230276790000,5.609892845,-3.12145853,-3.776653767
1707531230295690000,2.891604662,-6.236678123,-5.983090401
1707531230314580000,2.193976879,-8.158009529,-5.829102039
1707531230333470000,2.547910213,-9.563557625,-5.501825333
1707531230352370000,0.889675856,-9.935447693,-6.614634037
1707531230371260000,-2.255651474,-10.73269653,-5.208756924
1707531230390150000,-4.383821011,-10.87325859,-4.252457619
1707531230409040000,-4.68368578,-10.92263126,-3.950325966
1707531230427940000,-3.852539539,-10.86468983,-3.5091362
1707531230446830000,-2.805625916,-10.78305626,-3.491184711
1707531230465720000,-1.606383801,-9.952675819,-3.127445459
1707531230484620000,-0.260906696,-8.664370537,-3.082387686
1707531230503510000,-0.339912891,-6.872115135,-3.752272844
1707531230522400000,-1.344490528,-4.896428108,-3.819078922
1707531230541300000,-2.754554272,-1.922319412,-4.694572926
1707531230560190000,-1.053830862,2.34577179,-2.448445082
1707531230579080000,2.23693037,5.68683815,-2.159023762
1707531230597970000,5.840800762,8.728354454,-2.188105822
1707531230616870000,5.169651031,9.983562469,-1.679708481
1707531230635760000,4.783276558,8.380041122,0.370151997
1707531230654650000,6.451234818,6.148789406,2.390592098
1707531230673550000,6.489431381,4.533080101,3.752034664
1707531230692440000,3.265674114,2.757713318,4.531684399
1707531230711330000,-0.530445457,1.481478691,5.328014851
1707531230730230000,-3.855653286,0.202001095,6.424139977
1707531230749120000,-5.405323982,0.137928963,7.089521408
1707531230768010000,-5.61512661,-0.985110283,7.19151926
1707531230786900000,-4.964089394,-2.633114338,5.659042835
1707531230805800000,-4.220709324,-4.187900066,4.544259548
1707531230824690000,-4.000222206,-5.26384306,4.108265877
1707531230843580000,-4.780694962,-6.279877663,2.859708309
1707531230862480000,-4.79962635,-7.08804369,1.72603035
1707531230881370000,-4.220753193,-7.748572826,1.148484707
1707531230900260000,-3.879947662,-8.083942413,0.527436733
1707531230919160000,-3.546908617,-7.980519295,-0.350634098
1707531230938050000,-3.993594408,-6.682846546,-1.200608015
1707531230956940000,-4.484995842,-5.766958237,-1.753579736
1707531230975840000,-3.396007538,-3.649180174,-0.570461273
1707531230994730000,-1.127343178,-1.695121288,0.659163952
1707531231013620000,1.930726051,-0.092309475,-1.061575651
1707531231032510000,5.804091454,1.717039108,-3.640798569
1707531231051410000,12.07268143,4.175858021,-3.288249016
1707531231070300000,17.14117432,3.725038528,-1.595675349
1707531231089190000,15.37929344,2.777475834,-1.077699184
1707531231108090000,10.64154625,0.703341484,-3.283357382
1707531231126980000,6.719592094,-1.384888649,-4.184926987
1707531231145870000,3.507889748,-1.931993484,-3.499381065
1707531231164770000,2.110701561,-2.87597084,-2.691612244
1707531231183660000,0.846753597,-3.784259558,-3.128309727
1707531231202550000,-0.384018421,-3.318212748,-2.270210981
1707531231221440000,-0.130899906,-4.315730095,2.036279202
1707531231240340000,2.460827827,-2.124567509,2.525109529
1707531231259230000,3.566549778,-2.642710686,5.116051674
1707531231278120000,1.229003429,-2.169474602,3.728404045
1707531231297020000,-0.985937119,-2.746507168,2.778427601
1707531231315910000,0.372816563,-2.821844578,2.792372704
1707531231334800000,-0.045325279,-0.536263466,-0.064146399
1707531231353700000,-2.238452911,0.773100853,-0.88593179
1707531231372590000,-4.367997169,1.866031647,-0.788153052
1707531231391480000,-4.119875431,2.218141556,-0.845072985
1707531231410380000,-1.523859739,-0.085622787,0.097931325
1707531231429270000,0.953267097,1.784049034,-1.44906354
1707531231448160000,-0.197301865,2.472377777,-4.124110699
1707531231467050000,-2.377143145,0.819205284,-3.459451437
1707531231485950000,-1.671040058,-1.068240643,-0.854379773
1707531231504840000,-0.917455673,-0.585733414,-1.238477468
1707531231523730000,1.407146931,-0.421107292,0.378288954
1707531231542630000,2.436772823,-0.192049026,0.782432675
1707531231561520000,3.50026989,0.095649719,0.105551839
1707531231580410000,4.301036835,1.014625549,0.145694852
1707531231599310000,5.28844738,2.020474434,1.312271953
